priority_rank,priority_score,r4_review_id,source_review_id,dataset,condition,bucket,metric_state,panel_majority,panel_unanimous,panel_unique_labels,panel_metric_error_majority,metric_closure,metric_em,metric_f1,support_present,support_rank_min,risk_reasons,question,gold_answer,model_answer
93,0,r4b-v2-0109,r3k-0049,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,0,0.5,TRUE,1,,Where was the director of film God'S Comedy born?,Figueira,Figueira da Foz
94,0,r4b-v2-0110,r3k-0052,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director died earlier, King For A Night or The Lamp Still Burns?",King For A Night,King For A Night
95,0,r4b-v2-0111,r3k-0055,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director who died later, What Will You Do When You Catch Me? or School On Fire?",School On Fire,School On Fire
96,0,r4b-v2-0112,r3k-0056,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Where was the director of film Flatliners (2017 Film) born?,Denmark,Denmark
97,0,r4b-v2-0113,r3k-0058,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which magazine was established first, Urbe Bikini or Los Angeles Times Magazine?",Los Angeles Times Magazine,Los Angeles Times Magazine
98,0,r4b-v2-0114,r3k-0061,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Are director of film Ghosts Of Mississippi and director of film The Silence (1998 Film) both from the same country?,no,No
99,0,r4b-v2-0115,r3k-0062,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director who is older than the other, Blue Blood And Red or The Longshot? ",Blue Blood And Red,Blue Blood And Red
100,0,r4b-v2-0116,r3k-0064,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film came out first, The Magic Of Belle Isle or Krishnarjuna?",Krishnarjuna,Krishnarjuna
101,0,r4b-v2-0117,r3k-0065,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,What is the place of birth of Princess Caroline Of Hesse-Darmstadt's husband?,Bad Homburg vor der Höhe,Bad Homburg vor der Höhe
102,0,r4b-v2-0118,r3k-0066,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director who is older than the other, Two And A Lady or The Velvet Vampire? ",Two And A Lady,Two and a Lady
103,0,r4b-v2-0119,r3k-0068,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"When did John Lyon, 6Th Lord Glamis's father die?",1500,1500
104,0,r4b-v2-0120,r3k-0070,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Who is older, Olga Modrachová or Charlotta Von Liewen?",Charlotta Von Liewen,Charlotta Von Liewen
105,0,r4b-v2-0121,r3k-0071,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,What is the date of birth of the founder of Mcgraw Electric?,1 February 1883,1 February 1883
106,0,r4b-v2-0122,r3k-0074,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director died later, Zombie Wars or The Mad Martindales?",Zombie Wars,Zombie Wars
107,0,r4b-v2-0123,r3k-0075,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Where was the composer of song Back In The U.S.A. born?,"St. Louis, Missouri","St. Louis, Missouri"
108,0,r4b-v2-0124,r3k-0076,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,TRUE,wrong,none,0,0,0,TRUE,1,,Which country Aristarete's father is from?,Athens,UNKNOWN
109,0,r4b-v2-0125,r3k-0078,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Who was born first out of Kazimierz Cichowski and Ellen Margrethe Løj?,Kazimierz Cichowski,Kazimierz Cichowski
110,0,r4b-v2-0126,r3k-0079,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,0,0.8,TRUE,4,,What is the place of birth of Annick Dumont's husband?,Béziers,"Béziers, France"
111,0,r4b-v2-0127,r3k-0082,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?",Hood Of The Living Dead,Hood Of The Living Dead
112,0,r4b-v2-0128,r3k-0083,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director died later, Magnum Force or Brilliant Waltz?",Magnum Force,Magnum Force
113,0,r4b-v2-0129,r3k-0084,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,2,,Where did Lionel Giles's father graduate from?,Charterhouse School,Charterhouse School
114,0,r4b-v2-0130,r3k-0085,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film whose director is younger, Rustlers' Rhapsody or A Fistful Of Fingers?",A Fistful Of Fingers,A Fistful Of Fingers
115,0,r4b-v2-0131,r3k-0086,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,0,0.8,TRUE,1,,Where did the director of film Sagar Alias Jacky Reloaded graduate from?,Satyajit Ray Film and Television Institute,"Satyajit Ray Film And Television Institute of India, Kolkata"
116,0,r4b-v2-0132,r3k-0088,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director died earlier, Toto And Cleopatra or Land Of Peace?",Toto And Cleopatra,Toto And Cleopatra
117,0,r4b-v2-0133,r3k-0089,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,What is the date of death of the composer of song Limehouse Blues (Song)?,2 May 1934,2 May 1934
118,0,r4b-v2-0136,r3k-0097,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director who is older than the other, Undercover Agent or What A Girl? ",What A Girl,What A Girl
119,0,r4b-v2-0137,r3k-0098,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,0,0.8,TRUE,1,,Where was the mother of Mohammed Bin Hamad Bin Khalifa Al Thani born?,Al Khor,"Al Khor, Qatar"
120,0,r4b-v2-0138,r3k-0102,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Where was the place of death of the director of film Family Parade?,Königstein im Taunus,Königstein im Taunus
121,0,r4b-v2-0139,r3k-0103,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film whose director is younger, Ingrid – Die Geschichte Eines Fotomodells or South Of Rio?",Ingrid – Die Geschichte Eines Fotomodells,Ingrid – Die Geschichte Eines Fotomodells
122,0,r4b-v2-0140,r3k-0104,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,TRUE,wrong,none,0,0,0,TRUE,1,,"What is the place of birth of Henry Iii, Holy Roman Emperor's father?",Speyer,UNKNOWN
123,0,r4b-v2-0141,r3k-0105,2wiki,bge_rerank_top10,2wiki_bge_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Who is older, Werner Jaegerhuber or Peter Skellern?",Werner Jaegerhuber,Werner Jaegerhuber
124,0,r4b-v2-0142,r3k-0107,2wiki,bm25_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director born first, Husbands And Lovers or Il Trafficone?",Husbands And Lovers,Husbands And Lovers
125,0,r4b-v2-0143,r3k-0109,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,2,,What is the date of death of Alexander Of Masovia's father?,21 January 1426,21 January 1426
126,0,r4b-v2-0144,r3k-0110,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,Where was the husband of Jana Tichá born?,Počátky,Počátky
127,0,r4b-v2-0145,r3k-0111,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,TRUE,wrong,none,0,0,0,TRUE,1,,Do both films King Uncle and Kanyaka (Film) have the directors from the same country?,yes,UNKNOWN
128,0,r4b-v2-0146,r3k-0112,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,TRUE,wrong,none,0,0,0,TRUE,1,,Who is the maternal grandmother of Otto Von Habsburg?,Infanta Maria Antonia of Portugal,UNKNOWN
129,0,r4b-v2-0147,r3k-0113,2wiki,bge_rerank_top10,2wiki_all_support_conditions_fail,metric_open,wrong,TRUE,wrong,none,0,0,0,TRUE,1,,What is the place of birth of the director of film Huey Long (Film)?,Brooklyn,UNKNOWN
130,0,r4b-v2-0148,r3k-0116,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film was released more recently, 3 Nafas Likas or The Bravest Way?",3 Nafas Likas,3 Nafas Likas
131,0,r4b-v2-0149,r3k-0117,2wiki,bm25_top10,2wiki_bm25_only_success,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film was released more recently, Marriage License? or Maalgudi Days?",Maalgudi Days,Maalgudi Days
132,0,r4b-v2-0150,r3k-0118,2wiki,bge_rerank_top10,2wiki_natural_success_oracle_fail,metric_closed,correct,TRUE,correct,none,1,1,1,TRUE,1,,"Which film has the director who was born later, Le Paria or Young Doctors In Love?",Young Doctors In Love,Young Doctors In Love
